data,descricao,categoria,valor,tipo
2025-10-01,Salário,receita,4200.00,entrada
2025-10-02,Aluguel,moradia,1200.00,saida
2025-10-03,Supermercado,alimentacao,450.00,saida
2025-10-05,Netflix,lazer,55.90,saida
2025-10-07,Farmácia,saude,89.00,saida
2025-10-10,Restaurante,alimentacao,120.00,saida
2025-10-12,Uber,transporte,45.00,saida
2025-10-15,Conta de Luz,moradia,180.00,saida
2025-10-20,Academia,saude,99.00,saida
2025-10-25,Combustível,transporte,250.00,saida
2025-11-01,Salário,receita,4200.00,entrada
2025-11-02,Aluguel,moradia,1200.00,saida
2025-11-03,Supermercado,alimentacao,470.00,saida
2025-11-05,Netflix,lazer,55.90,saida
2025-11-08,Farmácia,saude,60.00,saida
2025-11-10,Restaurante,alimentacao,135.00,saida
2025-11-12,Uber,transporte,50.00,saida
2025-11-15,Conta de Luz,moradia,190.00,saida
2025-11-18,Internet,moradia,120.00,saida
2025-11-20,Academia,saude,99.00,saida
2025-11-25,Combustível,transporte,260.00,saida
2025-12-01,Salário,receita,4200.00,entrada
2025-12-02,Aluguel,moradia,1200.00,saida
2025-12-03,Supermercado,alimentacao,520.00,saida
2025-12-05,Netflix,lazer,55.90,saida
2025-12-08,Farmácia,saude,75.00,saida
2025-12-10,Restaurante,alimentacao,180.00,saida
2025-12-12,Uber,transporte,65.00,saida
2025-12-15,Conta de Luz,moradia,210.00,saida
2025-12-18,Presente de Natal,lazer,400.00,saida
2025-12-20,Academia,saude,99.00,saida
2025-12-24,Ceia de Natal,alimentacao,350.00,saida
2026-01-01,Salário,receita,4200.00,entrada
2026-01-02,Aluguel,moradia,1200.00,saida
2026-01-03,Supermercado,alimentacao,480.00,saida
2026-01-05,Netflix,lazer,55.90,saida
2026-01-06,Farmácia,saude,45.00,saida
2026-01-08,Restaurante,alimentacao,110.00,saida
2026-01-10,Uber,transporte,40.00,saida
2026-01-12,Conta de Água,moradia,90.00,saida
